Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
47	:	1582746631.076	    11.179	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c009_1.log
3	:	1582746630.971	    11.542	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c000_2.log
46	:	1582746631.074	    16.328	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c009_0.log
2	:	1582746630.969	    18.301	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c000_1.log
41	:	1582746631.060	    18.397	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c008_0.log
1	:	1582746630.967	    18.983	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c000_0.log
4	:	1582746630.972	    19.315	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c000_3.log
49	:	1582746631.080	    19.212	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c009_3.log
48	:	1582746631.078	    20.098	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c009_2.log
43	:	1582746631.066	    20.851	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c008_2.log
6	:	1582746630.976	    21.431	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c001_0.log
50	:	1582746631.083	    21.354	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c009_4.log
5	:	1582746630.974	    22.000	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c000_4.log
42	:	1582746631.064	    21.936	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c008_1.log
45	:	1582746631.071	    22.564	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c008_4.log
15	:	1582746630.998	    24.765	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c002_4.log
10	:	1582746630.982	    25.005	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c001_4.log
27	:	1582746631.031	    26.031	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c005_1.log
44	:	1582746631.069	    26.424	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c008_3.log
9	:	1582746630.981	    26.755	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c001_3.log
8	:	1582746630.979	    28.116	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c001_2.log
34	:	1582746631.047	    29.062	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c006_3.log
30	:	1582746631.038	    29.935	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c005_4.log
7	:	1582746630.978	    31.578	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c001_1.log
33	:	1582746631.045	    31.628	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c006_2.log
26	:	1582746631.029	    32.506	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582746630_2020-02-26-19-50-30/trs.waves.1.c005_0.log
