problem,run,trial,accuracy,n_seen,program
trs.waves.1.c009,0,1,1,17,"C = TAIL;"
trs.waves.1.c009,0,2,1,158424,"C = TAIL;"
trs.waves.1.c009,0,3,1,44160,"C = TAIL;"
trs.waves.1.c009,0,4,1,21320,"C = TAIL;"
trs.waves.1.c009,0,5,1,11864,"C = TAIL;"
trs.waves.1.c009,0,6,1,5488,"C = TAIL;"
trs.waves.1.c009,0,7,1,2664,"C = TAIL;"
trs.waves.1.c009,0,8,1,1512,"C = TAIL;"
trs.waves.1.c009,0,9,1,672,"C = TAIL;"
trs.waves.1.c009,0,10,1,464,"C = TAIL;"
trs.waves.1.c009,0,11,1,320,"C = TAIL;"
trs.waves.1.c009,1,1,1,17,"C = TAIL;"
trs.waves.1.c009,1,2,1,113952,"C = TAIL;"
trs.waves.1.c009,1,3,1,55720,"C = TAIL;"
trs.waves.1.c009,1,4,1,16472,"C = TAIL;"
trs.waves.1.c009,1,5,1,6984,"C = TAIL;"
trs.waves.1.c009,1,6,1,2912,"C = TAIL;"
trs.waves.1.c009,1,7,1,1664,"C = TAIL;"
trs.waves.1.c009,1,8,1,904,"C = TAIL;"
trs.waves.1.c009,1,9,1,536,"C = TAIL;"
trs.waves.1.c009,1,10,1,384,"C = TAIL;"
trs.waves.1.c009,1,11,1,216,"C = TAIL;"
trs.waves.1.c009,2,1,1,17,"C = TAIL;"
trs.waves.1.c009,2,2,1,78944,"C = TAIL;"
trs.waves.1.c009,2,3,1,37048,"C = TAIL;"
trs.waves.1.c009,2,4,1,18136,"C = TAIL;"
trs.waves.1.c009,2,5,1,9264,"C = TAIL;"
trs.waves.1.c009,2,6,1,3864,"C = TAIL;"
trs.waves.1.c009,2,7,1,1888,"C = TAIL;"
trs.waves.1.c009,2,8,1,1112,"C = TAIL;"
trs.waves.1.c009,2,9,1,632,"C = TAIL;"
trs.waves.1.c009,2,10,1,400,"C = TAIL;"
trs.waves.1.c009,2,11,1,328,"C = TAIL;"
trs.waves.1.c009,4,1,1,17,"C = TAIL;"
trs.waves.1.c009,4,2,1,88960,"C = TAIL;"
trs.waves.1.c009,4,3,1,63912,"C = TAIL;"
trs.waves.1.c009,4,4,1,18208,"C = TAIL;"
trs.waves.1.c009,4,5,1,9000,"C = TAIL;"
trs.waves.1.c009,4,6,1,2864,"C = TAIL;"
trs.waves.1.c009,4,7,1,2272,"C = TAIL;"
trs.waves.1.c009,4,8,1,1360,"C = TAIL;"
trs.waves.1.c009,4,9,1,648,"C = TAIL;"
trs.waves.1.c009,4,10,1,568,"C = TAIL;"
trs.waves.1.c009,4,11,1,344,"C = TAIL;"
trs.waves.1.c009,3,1,1,17,"C = TAIL;"
trs.waves.1.c009,3,2,1,68880,"C = TAIL;"
trs.waves.1.c009,3,3,1,49320,"C = TAIL;"
trs.waves.1.c009,3,4,1,21560,"C = TAIL;"
trs.waves.1.c009,3,5,1,9136,"C = TAIL;"
trs.waves.1.c009,3,6,1,4832,"C = TAIL;"
trs.waves.1.c009,3,7,1,2472,"C = TAIL;"
trs.waves.1.c009,3,8,1,1408,"C = TAIL;"
trs.waves.1.c009,3,9,1,696,"C = TAIL;"
trs.waves.1.c009,3,10,1,128,"C = TAIL;"
trs.waves.1.c009,3,11,1,136,"C = TAIL;"
trs.waves.1.c000,1,1,0,17,"C = TAIL;"
trs.waves.1.c000,1,2,1,246968,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,3,1,141248,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,4,1,54568,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,5,1,28224,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,6,1,13512,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,7,1,7184,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,8,1,3288,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,9,1,1608,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,10,1,936,".(var16_ NIL) = NIL;"
trs.waves.1.c000,1,11,1,1000,".(var16_ NIL) = NIL;"
trs.waves.1.c000,3,1,0,17,"C = TAIL;"
trs.waves.1.c000,3,2,1,204536,".(var15_ var18_) = var18_;"
trs.waves.1.c000,3,3,1,96424,".(var15_ var18_) = var18_;"
trs.waves.1.c000,3,4,1,54024,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,5,1,25432,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,6,1,12384,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,7,1,6120,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,8,1,3248,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,9,1,2064,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,10,1,1320,".(var47_ var44_) = NIL;"
trs.waves.1.c000,3,11,1,896,".(var47_ var44_) = NIL;"
trs.waves.1.c000,2,1,0,17,"C = TAIL;"
trs.waves.1.c000,2,2,1,190920,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,3,1,83856,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,4,1,41784,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,5,1,21184,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,6,1,11416,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,7,1,4776,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,8,1,2608,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,9,1,1824,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,10,1,808,".(var39_ NIL) = NIL;"
trs.waves.1.c000,2,11,1,512,".(var39_ NIL) = NIL;"
trs.waves.1.c000,0,1,0,17,"C = TAIL;"
trs.waves.1.c000,0,2,1,153672,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,3,1,76848,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,4,1,41336,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,5,1,21888,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,6,1,10136,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,7,1,5416,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,8,1,2968,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,9,1,1344,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,10,1,952,".(var16_ NIL) = NIL;"
trs.waves.1.c000,0,11,1,808,".(var16_ NIL) = NIL;"
trs.waves.1.c001,1,1,0,17,"C = TAIL;"
trs.waves.1.c001,1,2,1,115392,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,3,1,57816,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,4,1,27544,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,5,1,21744,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,6,1,9704,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,7,1,4560,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,8,1,2168,".(C var39_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
