Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1583157552.264	   231.341	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c000_4.log
58	:	1583157552.375	   402.933	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c011 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c011_2.log
31	:	1583157552.321	   483.845	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c006_0.log
26	:	1583157552.311	   503.267	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c005_0.log
46	:	1583157552.352	   614.917	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c009_0.log
47	:	1583157552.353	   615.269	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c009_1.log
48	:	1583157552.355	   615.355	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c009_2.log
50	:	1583157552.359	   615.756	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c009_4.log
49	:	1583157552.357	   617.007	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c009_3.log
55	:	1583157552.370	   620.213	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c010_4.log
2	:	1583157552.259	  1213.453	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c000_1.log
4	:	1583157552.262	  1214.023	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c000_3.log
3	:	1583157552.261	  1214.163	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c000_2.log
1	:	1583157552.257	  1214.217	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c000_0.log
7	:	1583157552.268	  1214.240	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c001_1.log
9	:	1583157552.271	  1214.453	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c001_3.log
30	:	1583157552.319	  1214.443	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c005_4.log
6	:	1583157552.266	  1214.586	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c001_0.log
43	:	1583157552.345	  1214.513	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c008_2.log
45	:	1583157552.350	  1214.632	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c008_4.log
8	:	1583157552.269	  1214.713	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1583157552_2020-03-02-13-59-12/trs.waves.1.c001_2.log
