waves/2/c004,0,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c004,1,sample,1023,1,1,1,0,0,0,0,1284327
waves/2/c004,2,sample,1023,3,1,1,0,0,0,0,1284327
waves/2/c004,3,delete,1023,7,1,1,0,0,0,0,1284327
waves/2/c004,4,memorize,1023,1,1,1,0,0,0,0,1284327
waves/2/c005,0,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c005,1,sample,1023,1,1,1,0,0,0,0,1284327
waves/2/c005,2,delete,1023,3,1,1,0,0,0,0,1284327
waves/2/c005,3,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c005,4,memorize,1023,1,1,1,0,0,0,0,1284327
waves/2/c016,0,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c016,1,memorize,1023,1,1,1,0,0,2,13114,1284327
waves/2/c016,2,regenerate,1023,255,1,1,8,72,150,230316,1284327
waves/2/c016,3,recurse,1023,255,1,1,8,72,153,239871,1284327
waves/2/c016,4,generalize,1023,511,1,1,9,60,160,241956,1284327
waves/2/c036,0,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c036,1,memorize,1023,1,1,1,0,0,0,0,1284327
waves/2/c036,2,memorize,1023,255,1,1,10,55,98,119372,1284327
waves/2/c036,3,regenerate,1023,511,1,1,10,55,122,149877,1284327
waves/2/c036,4,delete,1023,511,1,1,10,55,123,151386,1284327
waves/2/c021,0,memorize,1023,0,1,0,0,0,0,0,1284327
waves/2/c021,1,recurse,1023,31,1,1,7,48,61,85641,1284327
waves/2/c021,2,sample,1023,127,1,1,5,20,62,95027,1284327
waves/2/c021,3,regenerate,1023,255,1,1,5,20,65,100243,1284327
waves/2/c021,4,memorize,1023,255,1,1,5,20,65,100243,1284327
waves/2/c030,0,memorize,1023,0,1,0,0,0,0,0,1284327
waves/2/c030,1,variablize,1023,31,1,1,5,60,159,249055,1284327
waves/2/c030,2,recurse,1023,31,1,1,5,60,157,253194,1284327
waves/2/c030,3,sample,1023,1023,1,1,5,28,153,280829,1284327
waves/2/c030,4,compose,1023,2047,1,1,5,28,153,280829,1284327
waves/2/c013,0,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c013,1,regenerate,1023,1,1,1,0,0,0,0,1284327
waves/2/c013,2,memorize,1023,1,1,1,0,0,3,5293,1284327
waves/2/c013,3,recurse,1023,63,1,1,8,81,109,161797,1284327
waves/2/c013,4,memorize,1023,2047,1,1,4,15,124,183337,1284327
waves/2/c009,0,memorize,1023,0,1,0,0,0,0,0,1284327
waves/2/c009,1,generalize,1023,63,1,1,7,72,113,153567,1284327
waves/2/c009,2,variablize,1023,2047,1,1,10,65,230,394948,1284327
waves/2/c009,3,delete,1023,2047,1,1,10,65,228,395003,1284327
waves/2/c009,4,variablize,1023,63,1,1,7,65,124,215923,1284327
waves/2/c027,0,sample,1023,0,1,0,0,0,0,0,1284327
waves/2/c027,1,memorize,1023,1,1,1,0,0,0,0,1284327
waves/2/c027,2,memorize,1023,127,1,1,9,90,149,225366,1284327
waves/2/c027,3,generalize,1023,1023,1,1,9,90,236,349023,1284327
