Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1585080445.149	     8.546	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_000.log
2	:	1585080445.151	     8.671	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_001.log
12	:	1585080445.170	     9.526	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_011.log
20	:	1585080445.192	    10.113	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_019.log
16	:	1585080445.183	    11.031	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_015.log
13	:	1585080445.175	    11.098	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_012.log
10	:	1585080445.166	    12.509	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_009.log
5	:	1585080445.156	    13.147	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_004.log
7	:	1585080445.160	    13.965	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_006.log
18	:	1585080445.188	    14.904	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_017.log
4	:	1585080445.154	    16.911	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_003.log
15	:	1585080445.181	    17.091	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_014.log
11	:	1585080445.168	    17.229	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin search_space_sizer -- trs/simulation.toml trs/wave_2.txt &> out/1585080445_2020-03-24-20-07-25/run_010.log
