Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1586262756.619	   743.499	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c000_3.log
2	:	1586262756.609	   761.825	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c000_1.log
3	:	1586262756.613	   763.706	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c000_2.log
6	:	1586262756.631	   764.078	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c001_0.log
1	:	1586262756.605	   766.536	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c000_0.log
5	:	1586262756.623	   768.175	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c000_4.log
27	:	1586262756.748	   775.726	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c005_1.log
10	:	1586262756.663	   781.115	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c001_4.log
45	:	1586262756.837	   792.986	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c008_4.log
14	:	1586262756.685	   801.130	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c002_3.log
9	:	1586262756.655	   805.127	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1586262756_2020-04-07-12-32-36/trs.waves.1.c001_3.log
