problem,run,trial,accuracy,n_seen,program
trs.waves.1.c008,1,3,1,15097,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,4,1,6889,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,5,1,4281,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,6,1,2329,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,7,1,889,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,8,1,609,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,9,1,401,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,10,1,457,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,11,1,465,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c001,3,1,0,17,"C = TAIL;"
trs.waves.1.c001,3,2,1,27217,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,3,1,22065,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,4,1,11033,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,5,1,5521,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,6,1,2713,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,7,1,1337,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,8,1,857,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,9,1,289,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,10,1,465,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,11,1,385,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,1,0,17,"C = TAIL;"
trs.waves.1.c001,4,2,1,42409,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,3,1,21121,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,4,1,9953,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,5,1,4145,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,6,1,2473,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,7,1,1465,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,8,1,745,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,9,1,497,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,10,1,505,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,11,1,481,".(C var28_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c000,1,1,0,17,"C = TAIL;"
trs.waves.1.c000,1,2,1,31769,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,3,1,16905,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,4,1,7865,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,5,1,3977,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,6,1,2281,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,7,1,1345,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,8,1,569,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,9,1,417,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,10,1,545,".(var25_ NIL) = NIL;"
trs.waves.1.c000,1,11,1,449,".(var25_ NIL) = NIL;"
trs.waves.1.c005,2,1,0,17,"C = TAIL;"
trs.waves.1.c005,2,2,1,23033,".(C var13_) = var13_;"
trs.waves.1.c005,2,3,1,19545,".(C var13_) = var13_;"
trs.waves.1.c005,2,4,1,10921,".(C var13_) = var13_;"
trs.waves.1.c005,2,5,1,4809,".(C var13_) = var13_;"
trs.waves.1.c005,2,6,1,2241,".(C var13_) = var13_;"
trs.waves.1.c005,2,7,1,1361,".(C var13_) = var13_;"
trs.waves.1.c005,2,8,1,721,".(C var13_) = var13_;"
trs.waves.1.c005,2,9,1,417,".(C var13_) = var13_;"
trs.waves.1.c005,2,10,1,425,".(C var13_) = var13_;"
trs.waves.1.c005,2,11,1,425,".(C var13_) = var13_;"
trs.waves.1.c001,0,1,0,17,"C = TAIL;"
trs.waves.1.c001,0,2,1,39825,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,3,1,22049,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,4,1,9769,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,5,1,4489,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,6,1,2233,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,7,1,1145,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,8,1,633,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,9,1,385,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,10,1,265,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,11,1,201,".(C var15_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c005,3,1,0,17,"C = TAIL;"
trs.waves.1.c005,3,2,1,28617,".(C var13_) = var13_;"
trs.waves.1.c005,3,3,1,12945,".(C var13_) = var13_;"
trs.waves.1.c005,3,4,1,7417,".(C var13_) = var13_;"
trs.waves.1.c005,3,5,1,3689,".(C var13_) = var13_;"
trs.waves.1.c005,3,6,1,1937,".(C var13_) = var13_;"
trs.waves.1.c005,3,7,1,841,".(C var13_) = var13_;"
trs.waves.1.c005,3,8,1,393,".(C var13_) = var13_;"
trs.waves.1.c005,3,9,1,273,".(C var13_) = var13_;"
trs.waves.1.c005,3,10,1,233,".(C var13_) = var13_;"
trs.waves.1.c005,3,11,1,281,".(C var13_) = var13_;"
trs.waves.1.c006,0,1,0,17,"C = TAIL;"
trs.waves.1.c006,0,2,1,38065,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,3,1,15225,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,4,1,6865,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,5,1,2577,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,6,1,1649,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
