Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
50	:	1582841764.338	   136.029	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c009_4.log
47	:	1582841764.330	   136.098	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c009_1.log
46	:	1582841764.327	   136.767	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c009_0.log
49	:	1582841764.335	   137.789	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c009_3.log
48	:	1582841764.332	   138.062	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c009_2.log
1	:	1582841764.229	   224.290	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c000_0.log
7	:	1582841764.240	   254.868	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c001_1.log
42	:	1582841764.317	   255.391	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c008_1.log
9	:	1582841764.244	   255.502	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c001_3.log
10	:	1582841764.245	   255.558	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c001_4.log
2	:	1582841764.231	   255.584	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c000_1.log
28	:	1582841764.287	   255.536	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c005_2.log
6	:	1582841764.239	   255.668	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c001_0.log
29	:	1582841764.289	   255.687	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c005_3.log
31	:	1582841764.294	   255.686	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c006_0.log
27	:	1582841764.285	   255.759	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c005_1.log
14	:	1582841764.254	   255.799	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c002_3.log
56	:	1582841764.352	   255.724	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c011 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c011_0.log
44	:	1582841764.321	   255.937	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c008_3.log
5	:	1582841764.237	   256.059	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c000_4.log
4	:	1582841764.235	   256.078	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c000_3.log
11	:	1582841764.247	   256.095	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c002_0.log
30	:	1582841764.291	   256.203	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c005_4.log
8	:	1582841764.242	   256.299	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c001_2.log
13	:	1582841764.252	   256.309	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c002_2.log
26	:	1582841764.282	   256.306	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c005_0.log
34	:	1582841764.300	   256.373	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c006_3.log
45	:	1582841764.324	   256.357	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c008_4.log
12	:	1582841764.249	   256.448	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c002_1.log
43	:	1582841764.320	   256.424	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c008_2.log
41	:	1582841764.315	   256.467	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c008_0.log
15	:	1582841764.257	   256.628	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c002_4.log
37	:	1582841764.307	   256.759	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c007_1.log
20	:	1582841764.269	   257.056	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c003 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c003_4.log
57	:	1582841764.354	   257.075	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c011 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c011_1.log
40	:	1582841764.313	   257.121	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c007_4.log
39	:	1582841764.311	   257.150	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c007_3.log
17	:	1582841764.262	   257.495	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c003 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c003_1.log
38	:	1582841764.309	   257.576	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c007_2.log
16	:	1582841764.259	   257.635	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c003 &> out/1582841764_2020-02-27-22-16-04/trs.waves.1.c003_0.log
