problem,run,trial,accuracy,n_seen,program
trs.waves.1.c009,4,1,1,17,"C = TAIL;"
trs.waves.1.c009,4,2,1,36712,"C = TAIL;"
trs.waves.1.c009,4,3,1,28792,"C = TAIL;"
trs.waves.1.c009,4,4,1,12872,"C = TAIL;"
trs.waves.1.c009,4,5,1,6320,"C = TAIL;"
trs.waves.1.c009,4,6,1,3536,"C = TAIL;"
trs.waves.1.c009,4,7,1,1768,"C = TAIL;"
trs.waves.1.c009,4,8,1,920,"C = TAIL;"
trs.waves.1.c009,4,9,1,576,"C = TAIL;"
trs.waves.1.c009,4,10,1,312,"C = TAIL;"
trs.waves.1.c009,4,11,1,288,"C = TAIL;"
trs.waves.1.c009,3,1,1,17,"C = TAIL;"
trs.waves.1.c009,3,2,1,34688,"C = TAIL;"
trs.waves.1.c009,3,3,1,16904,"C = TAIL;"
trs.waves.1.c009,3,4,1,8112,"C = TAIL;"
trs.waves.1.c009,3,5,1,3984,"C = TAIL;"
trs.waves.1.c009,3,6,1,2344,"C = TAIL;"
trs.waves.1.c009,3,7,1,1368,"C = TAIL;"
trs.waves.1.c009,3,8,1,904,"C = TAIL;"
trs.waves.1.c009,3,9,1,472,"C = TAIL;"
trs.waves.1.c009,3,10,1,344,"C = TAIL;"
trs.waves.1.c009,3,11,1,336,"C = TAIL;"
trs.waves.1.c009,0,1,1,17,"C = TAIL;"
trs.waves.1.c009,0,2,1,53616,"C = TAIL;"
trs.waves.1.c009,0,3,1,19400,"C = TAIL;"
trs.waves.1.c009,0,4,1,9640,"C = TAIL;"
trs.waves.1.c009,0,5,1,4568,"C = TAIL;"
trs.waves.1.c009,0,6,1,2240,"C = TAIL;"
trs.waves.1.c009,0,7,1,1472,"C = TAIL;"
trs.waves.1.c009,0,8,1,928,"C = TAIL;"
trs.waves.1.c009,0,9,1,680,"C = TAIL;"
trs.waves.1.c009,0,10,1,384,"C = TAIL;"
trs.waves.1.c009,0,11,1,360,"C = TAIL;"
trs.waves.1.c009,1,1,1,17,"C = TAIL;"
trs.waves.1.c009,1,2,1,31520,"C = TAIL;"
trs.waves.1.c009,1,3,1,19728,"C = TAIL;"
trs.waves.1.c009,1,4,1,8160,"C = TAIL;"
trs.waves.1.c009,1,5,1,4064,"C = TAIL;"
trs.waves.1.c009,1,6,1,1744,"C = TAIL;"
trs.waves.1.c009,1,7,1,544,"C = TAIL;"
trs.waves.1.c009,1,8,1,424,"C = TAIL;"
trs.waves.1.c009,1,9,1,368,"C = TAIL;"
trs.waves.1.c009,1,10,1,264,"C = TAIL;"
trs.waves.1.c009,1,11,1,296,"C = TAIL;"
trs.waves.1.c009,2,1,1,17,"C = TAIL;"
