Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
33	:	1582908624.928	   163.865	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c006_2.log
50	:	1582908624.963	   316.315	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c009_4.log
49	:	1582908624.961	   316.535	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c009_3.log
46	:	1582908624.956	   316.938	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c009_0.log
47	:	1582908624.957	   317.007	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c009_1.log
48	:	1582908624.960	   318.174	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c009_2.log
28	:	1582908624.916	   463.546	0	0	134	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c005_2.log
1	:	1582908624.856	   614.345	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c000_0.log
5	:	1582908624.865	   614.792	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c000_4.log
12	:	1582908624.877	   615.007	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c002_1.log
3	:	1582908624.860	   615.078	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c000_2.log
8	:	1582908624.870	   615.207	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c001_2.log
2	:	1582908624.858	   615.280	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c000_1.log
32	:	1582908624.925	   615.220	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c006_1.log
14	:	1582908624.885	   615.282	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c002_3.log
43	:	1582908624.949	   615.231	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c008_2.log
10	:	1582908624.873	   615.480	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c001_4.log
45	:	1582908624.954	   615.477	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c008_4.log
9	:	1582908624.871	   615.585	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c001_3.log
7	:	1582908624.868	   615.654	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c001_1.log
30	:	1582908624.921	   615.601	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c005_4.log
44	:	1582908624.951	   615.691	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c008_3.log
26	:	1582908624.910	   615.863	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c005_0.log
13	:	1582908624.881	   616.085	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c002_2.log
55	:	1582908624.973	   616.070	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c010_4.log
42	:	1582908624.947	   616.144	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c008_1.log
29	:	1582908624.919	   616.273	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582908624_2020-02-28-16-50-24/trs.waves.1.c005_3.log
